WellIndex,Por,LogPerm,AI,Brittle,TOC,VR,Latitude,Longitude,Production
75,14.09,1.15,2.95,45.1,0.93,1.91,42.8545,43.6652,2373.247992
76,13.6,1.34,2.72,65.56,0.8,1.84,35.5807,41.1903,1337.161679
77,13.41,1.68,3.25,61.06,0.49,1.77,35.8725,25.2933,1692.362778
78,17.18,1.36,2.95,60.23,1.89,2.46,68.6345,41.6253,3303.177594
79,13.49,0.85,2.57,38.37,1.24,2.06,38.7552,33.0898,1711.01725
80,18.49,1.68,2.93,30.18,1.13,2.07,57.6938,25.7046,1973.661172
81,13.46,1.17,2.92,56.97,0.89,1.97,43.9491,40.6235,2045.667047
82,20.52,1.64,2.36,30.58,2.14,2.31,42.6946,50.5433,2932.566097
83,15.96,1.64,3.24,58.07,1.22,2.22,36.8865,30.9315,2922.134713
84,16.69,1.46,3.09,64.31,1.2,2.17,42.8828,39.6078,2339.460352
85,20.25,2.47,2.51,34.93,1.04,1.67,51.6927,40.1957,3760.126283
86,18.8,2.31,2.57,51.96,1.63,2.09,37.6041,47.7696,5293.169249
87,20.23,1.68,2.17,60.08,1.81,2.16,41.0443,41.3989,5164.078629
88,16.8,1.49,2.94,33.29,1.38,2.15,63.1007,28.2445,2030.685607
89,16.59,1.54,2.56,33.49,1.18,1.84,47.5118,29.095,1977.577029
90,16.34,1.55,3.1,49.21,1.01,1.95,35.0714,42.5865,3510.127171
91,17.41,1.28,2.9,20.37,1.43,2.12,38.4945,29.8055,562.7536605
92,17.04,1.76,3.04,51.72,0.79,2.08,40.6523,10.5582,3820.902194
93,14.17,1.62,2.33,76.95,0.94,2.0,49.484,41.0462,489.2412341
94,10.88,0.98,3.4,67.99,0.6,2.01,41.3053,48.5825,735.2219765
95,13.92,1.1,2.48,32.28,0.8,1.53,40.1763,16.309,1179.765544
96,13.45,1.35,3.37,77.02,0.46,2.03,43.7875,28.5771,418.7773612
97,18.03,1.97,2.43,59.24,1.65,1.67,86.9199,29.7696,3903.963034
98,16.53,1.46,2.09,56.93,1.12,1.95,46.5274,58.2904,3254.612211
99,12.26,0.67,2.76,69.9,0.37,1.78,19.2262,47.4788,739.7280834
100,12.85,1.11,4.5,69.82,0.2,2.54,76.7294,19.8647,811.3686826
101,18.31,2.1,2.82,40.04,1.72,2.27,57.5077,32.0433,3969.947752
102,16.79,1.92,3.36,59.23,0.93,2.24,-1.7619,68.3654,3100.979317
103,9.87,1.17,3.41,75.55,0.38,2.08,43.5581,32.295,296.5137108
104,12.07,0.65,3.83,50.43,0.24,1.93,90.0,14.5081,1761.793957
105,13.87,1.53,2.76,59.46,0.3,1.59,47.9301,32.397,1911.348967
106,18.33,2.19,3.16,42.78,0.86,1.82,32.4032,33.1256,4176.786718
107,13.37,1.07,3.61,39.07,0.96,2.1,89.4908,23.9049,1722.206916
108,13.78,1.33,2.54,43.76,0.43,1.22,38.5764,56.7451,2128.845154
109,14.6,1.35,2.21,72.28,0.96,1.73,35.7142,44.7308,873.473856
110,9.2,0.68,2.91,47.79,0.34,1.55,35.6219,39.0088,1165.558805
111,10.71,0.59,2.86,46.15,0.86,2.02,26.9013,41.6664,1464.571466
112,16.55,1.42,2.62,76.03,1.15,2.0,44.1359,22.9205,774.582415
113,23.85,2.57,1.21,-10.5,2.39,1.34,23.4344,54.6291,2.71353485
114,17.62,1.79,2.74,61.75,1.41,2.14,40.3376,39.1035,3188.882991
115,19.98,2.14,3.09,46.55,1.84,2.37,50.6652,34.4624,6215.259287
116,19.39,1.76,2.73,36.73,1.44,2.1,6.6164,83.6153,3770.340881
117,19.38,1.67,2.18,49.64,1.72,2.0,68.9832,32.8434,5726.952322
118,11.86,0.94,4.13,65.22,0.32,2.28,75.1207,20.1898,1021.84392
119,16.99,1.56,3.06,29.86,0.86,1.61,25.6584,40.756,1510.613559
120,14.83,1.68,2.78,42.27,0.82,1.8,32.2467,54.1981,2447.385065
121,13.73,1.01,4.37,86.28,0.52,2.69,-9.3614,58.4092,113.6731695
122,18.26,1.52,3.21,31.53,1.04,2.15,35.766,27.0991,2124.206372
123,15.81,1.52,2.47,57.97,1.6,2.17,41.5712,48.6424,2937.416162
124,11.99,1.23,3.86,29.76,0.33,2.01,37.6968,34.1247,699.0347214
125,14.52,1.29,3.39,34.97,1.17,2.03,12.3818,68.3994,1623.177748
126,11.39,1.11,3.39,58.45,0.37,2.01,39.7223,50.8977,1389.166744
127,11.93,1.22,2.7,34.35,0.63,1.44,44.0643,34.1043,1031.528536
128,16.41,1.42,2.75,48.19,1.14,1.8,26.377,57.5782,3541.343025
129,14.76,1.07,3.38,49.63,0.73,1.89,48.217,37.8026,2710.215938
130,14.18,1.64,3.79,55.69,0.98,2.44,45.2754,46.6813,2399.872701
131,13.64,1.53,3.4,37.02,0.77,1.74,40.063,44.8253,1598.53106
132,12.73,1.33,2.36,55.95,1.19,1.74,36.742,32.6767,1947.91304
133,10.25,1.4,3.59,52.02,0.39,1.83,33.3988,35.8749,1390.007239
134,13.25,1.57,3.46,65.91,0.8,1.98,45.6778,48.3124,1249.05983
135,20.54,2.06,2.8,47.15,1.71,2.18,11.8254,46.5134,6704.042101
136,11.47,1.14,3.35,69.35,0.64,1.97,77.3677,22.8848,717.1732553
137,12.16,0.76,4.22,45.38,1.38,2.82,33.1819,32.8351,1849.433674
138,18.16,2.03,2.74,36.43,1.62,1.95,39.9074,44.2684,3166.875607
139,9.2,0.85,3.65,62.92,-0.25,1.79,48.1533,57.7716,775.5167498
140,8.73,0.61,3.4,46.11,-0.06,1.54,66.1028,20.1887,1033.239493
141,13.5,1.44,3.48,47.55,0.63,1.98,31.3754,43.2608,2242.55319
142,15.7,1.68,2.59,72.9,1.08,1.83,-2.7542,69.0862,976.1567657
143,16.0,1.39,2.93,36.56,0.75,1.91,73.7013,27.4081,2166.210818
144,20.18,1.98,2.48,69.95,1.29,2.03,40.7439,44.2634,2529.45737
145,9.24,0.72,2.63,48.4,0.49,1.43,34.9699,31.1366,1192.60491
146,15.02,1.94,3.58,42.68,0.83,2.13,49.2614,41.0416,2570.867294
147,12.58,0.97,3.33,66.0,0.06,1.66,16.9192,46.2068,1052.009316
148,9.81,0.26,3.59,79.18,0.8,2.59,-4.2157,65.3328,187.5932287
149,9.97,1.04,3.18,54.66,0.23,1.78,48.2248,48.9952,1255.203934
150,16.35,1.39,3.25,49.33,1.24,2.37,66.3288,56.6805,3561.992347
151,15.7,1.56,2.17,66.75,1.03,1.68,81.9109,31.1275,1692.298469
152,17.06,1.51,2.92,35.49,1.32,2.08,40.4854,43.0881,2457.93636
153,14.2,1.21,3.92,51.71,0.83,2.41,33.8457,44.0979,2514.658931
154,15.87,1.43,2.72,59.24,1.27,2.09,40.0262,36.4592,2748.229444
155,6.48,0.39,3.68,81.87,-0.14,1.87,70.9516,32.5518,75.21518841
156,14.24,1.51,3.47,43.31,0.71,2.21,82.4114,22.202,2299.227895
157,13.31,1.17,2.53,67.55,0.67,1.59,39.3969,41.8957,1089.161058
158,17.2,1.87,2.75,44.12,1.18,2.0,63.7582,44.8606,3749.779943
159,10.51,1.27,3.48,74.89,0.28,1.92,29.328,33.6698,349.2156477
160,17.96,1.82,2.4,44.88,1.71,2.15,38.505,51.922,4417.313562
161,19.86,1.92,2.14,77.04,0.4,1.25,51.4795,49.1533,1057.261254
162,14.9,0.88,2.59,36.2,1.65,2.14,30.9097,42.0009,1901.478612
163,17.65,2.06,2.63,62.7,1.4,2.02,28.4327,22.83,3060.551966
164,17.73,1.62,2.54,40.61,1.79,2.09,67.2877,24.3711,3711.825183
165,19.16,1.87,1.76,35.96,1.53,1.51,59.7471,46.0584,3514.686822
166,17.49,1.66,2.78,52.07,1.42,2.15,17.326,47.7072,4235.93405
167,16.18,1.77,2.65,35.03,1.04,1.61,60.8481,22.7102,2075.186478
168,9.79,0.91,3.24,50.67,0.55,1.92,46.8432,32.5571,1309.706537
169,14.78,1.18,2.37,61.85,1.4,1.94,38.9016,48.7906,2077.485573
170,22.14,2.37,2.21,37.26,1.88,2.16,30.6295,48.747,6047.418084
171,14.76,1.21,2.35,50.28,1.51,1.92,54.9647,32.373,2877.826882
172,16.3,1.19,2.12,84.58,1.94,2.55,37.0031,37.3807,240.4175328
173,14.6,1.17,1.87,42.98,1.28,1.51,6.3624,47.8556,2469.385807
174,17.52,1.35,3.28,40.74,1.23,2.29,6.076,42.6493,3453.41305
175,17.92,1.94,2.81,39.43,1.7,2.08,41.7889,55.5276,3627.386253
176,12.54,1.14,3.93,54.03,0.24,2.16,43.1417,35.6772,1841.531373
177,15.52,1.01,3.71,70.25,0.94,2.46,38.3617,52.745,1199.92321
178,12.89,1.26,3.21,56.19,0.95,2.11,40.8659,54.9101,1942.217302
179,13.86,1.25,2.16,62.95,1.05,1.92,45.8904,47.9215,1670.35701
180,16.9,1.88,3.19,53.89,1.24,2.23,72.5817,24.2802,3776.938
181,14.18,1.18,3.27,74.31,0.89,2.14,35.0925,45.7549,656.7312917
182,11.62,1.29,3.56,51.21,0.33,1.95,35.4029,41.367,1687.082897
183,14.27,1.7,2.58,47.1,0.81,1.57,76.2128,18.2885,2540.090807
184,15.67,1.32,3.17,53.23,0.84,1.92,33.9985,45.3441,3062.554203
185,18.36,1.75,2.18,41.26,1.82,1.97,44.0676,26.7859,4199.645598
186,15.63,1.48,3.42,38.13,1.13,2.04,43.2305,50.7461,2316.175338
187,15.47,1.67,2.35,74.76,0.94,1.74,48.4401,32.3998,763.5762415
188,8.8,0.95,3.67,87.54,0.36,2.28,31.9364,44.8338,44.86173807
189,16.35,1.67,3.2,44.5,0.84,2.01,30.6637,46.1006,3258.499533
190,17.4,1.65,1.88,27.97,0.46,0.9,33.3977,39.7217,1301.371449
191,17.19,1.7,2.61,35.62,1.17,1.91,50.3037,42.2606,2512.142529
192,15.94,1.64,2.14,42.74,0.63,1.03,50.7197,31.4991,2871.031676
193,10.04,0.74,3.17,74.96,0.98,2.09,39.5147,48.8828,335.5072968
194,11.78,1.21,3.3,36.6,0.75,2.01,23.7041,32.2438,1182.1746
195,14.57,1.41,3.38,58.86,0.36,1.88,38.6767,41.7269,2171.845022
196,13.53,1.16,2.67,34.5,0.71,1.32,53.1814,54.7758,1316.344579
197,12.22,1.36,3.09,71.08,0.86,2.03,3.0353,42.9343,695.3550023
198,12.86,1.31,3.2,50.36,0.04,1.63,42.9758,32.181,1980.419721
199,14.69,1.36,2.24,25.28,0.68,1.25,25.5777,50.1869,667.1649929
200,13.79,1.66,3.71,62.7,0.75,2.45,26.4144,46.5508,1663.048306
201,13.71,1.2,2.71,49.11,0.92,1.93,40.4605,43.3451,2371.173406
202,11.61,1.21,3.89,52.33,0.34,2.03,53.9948,39.9937,1666.69035
203,13.44,1.32,2.87,36.37,0.27,1.36,59.2637,39.6049,1431.226494
204,13.43,1.13,3.44,51.75,0.95,2.0,15.9754,59.5056,2266.329436
205,11.38,1.16,2.26,45.25,0.45,1.48,34.9239,45.8748,1561.547308
206,16.65,1.74,2.74,47.34,1.14,1.77,51.9745,33.3963,3670.540401
207,15.82,1.22,1.81,48.74,0.87,1.29,65.7289,37.7206,3190.473373
208,19.08,1.84,2.73,49.56,1.38,2.24,38.6247,59.4802,5385.471703
209,13.37,0.92,2.69,42.26,1.02,1.74,24.7809,44.0003,1970.96811
210,11.88,0.89,3.05,43.18,0.53,1.54,19.6308,37.3839,1584.40259
211,10.29,1.05,3.6,41.11,-0.23,1.6,11.7737,60.95,1114.521963
212,12.57,1.31,3.64,48.9,0.9,1.99,45.2921,36.9439,2014.695492
213,17.06,1.46,2.69,27.81,2.09,2.23,36.5355,19.4859,1363.090297
214,9.66,0.96,3.49,83.63,0.36,2.09,40.065,48.4515,95.73161459
215,14.38,1.38,2.95,60.16,1.49,2.28,58.3259,28.2327,2159.999174
216,11.44,1.06,2.84,44.67,1.1,2.06,-5.4258,54.9937,1623.866681
217,9.78,0.57,3.72,77.4,0.16,2.31,42.3662,42.4916,226.8756334
218,14.95,1.49,2.59,47.49,1.31,1.94,-10.0,59.405,2899.042852
219,9.6,0.4,3.33,52.08,0.89,2.1,30.714,50.3446,1274.832382
220,20.83,2.19,2.57,82.77,1.96,2.43,45.4153,33.7498,625.4011115
221,14.0,1.48,2.59,58.35,0.95,1.67,24.7121,50.4818,2134.004514
222,14.27,1.63,3.11,74.31,0.65,1.98,18.5411,44.9152,661.2821043
223,16.53,1.39,2.52,28.62,1.13,1.6,44.1267,45.9438,1276.611559
224,17.62,1.69,2.19,33.65,1.47,1.79,34.8238,47.9653,2377.95034
225,21.89,1.66,1.86,39.58,1.69,2.03,25.4622,35.7338,6385.367076
226,13.34,0.83,2.56,29.32,1.12,1.76,-1.524,65.3932,850.6860597
227,16.29,1.6,3.2,38.23,0.87,1.86,36.9968,35.6915,2520.03697
228,13.44,1.2,2.98,86.55,0.84,2.32,45.2856,46.2306,107.1789675
229,17.21,1.41,2.05,55.24,1.88,2.15,41.6208,43.1056,3965.301822
230,16.89,1.52,2.61,44.91,1.63,1.96,0.6981,72.1375,3746.541679
231,15.56,1.99,2.78,49.86,1.26,1.89,33.6256,39.9964,3241.932141
232,17.33,1.94,2.58,69.48,1.7,2.1,38.7731,36.9363,1807.059354
233,17.68,2.38,3.71,64.66,1.2,2.56,36.0837,41.1765,2706.939706
234,15.46,1.37,2.91,52.28,1.14,2.13,43.7597,35.6523,3077.843796
235,16.64,1.61,2.97,47.64,1.22,2.07,34.9358,49.7719,3686.358119
236,11.75,1.08,3.48,42.64,0.86,2.26,44.282,22.3382,1573.669557
237,12.59,1.08,3.36,29.74,0.42,1.68,39.1936,29.7454,761.6109414
238,14.78,1.55,3.89,63.01,0.65,2.51,40.3012,29.2166,1862.921224
239,13.74,1.9,3.42,61.13,0.72,2.1,49.4325,46.2017,1807.722558
240,12.24,1.25,3.44,55.1,0.8,2.31,58.5816,50.6026,1801.423645
241,13.22,1.35,2.28,54.15,1.23,1.88,73.2134,27.3308,2187.046818
242,15.98,1.34,3.35,28.91,1.38,2.31,27.8219,42.5741,1233.205123
243,14.64,1.69,2.99,72.94,0.82,2.1,48.1732,37.8399,820.1150495
244,11.81,0.8,3.09,55.35,0.62,1.91,49.3289,48.3537,1642.41151
245,9.99,0.95,2.98,44.3,0.89,1.8,49.3809,27.4432,1284.692443
246,15.71,1.71,3.01,40.42,0.6,1.64,-6.0219,58.4913,2540.858746
247,15.72,1.2,2.51,38.58,1.34,1.97,40.2279,49.6722,2421.06191
248,15.76,0.98,3.32,43.93,0.53,2.19,40.3214,44.8985,2830.237615
249,13.89,1.51,3.07,39.89,0.46,1.74,33.086,44.3157,1884.420119
250,14.25,1.34,3.15,55.66,1.09,2.23,42.49,49.139,2421.873468
251,6.68,0.24,3.93,26.2,0.7,2.14,39.8674,13.0141,228.4217017
252,13.84,1.49,3.08,52.98,1.07,2.12,38.0746,47.4526,2417.34814
253,11.66,1.23,3.16,41.27,0.86,1.84,34.7114,35.3102,1484.675726
254,10.41,0.94,2.74,40.45,0.21,1.28,54.4268,16.6443,1135.753353
255,12.77,0.85,3.64,53.14,0.73,2.24,57.0375,39.1489,1983.040131
256,18.84,2.43,3.28,61.24,1.51,2.37,31.9727,56.5461,4000.196995
257,12.56,1.5,3.67,44.06,0.89,2.11,78.0871,25.295,1871.857486
258,18.12,1.68,2.92,69.68,1.32,2.19,36.9989,50.5791,1919.339826
259,13.24,1.24,3.09,30.13,1.62,2.1,57.9647,49.8351,948.0475721
260,10.3,0.5,3.78,15.61,0.48,2.1,62.4767,45.2823,92.92396953
261,12.35,0.91,2.8,35.57,0.28,1.69,28.516,60.4191,1151.302877
262,15.32,1.3,2.14,41.65,1.06,1.42,70.0303,36.9107,2581.338011
263,18.59,1.98,1.91,56.49,0.92,1.57,44.7521,39.0911,4428.59736
264,16.02,1.18,2.41,46.45,0.98,1.75,34.5225,25.8975,3220.398936
265,21.74,1.89,2.71,52.49,2.71,2.84,43.1283,36.4445,8554.267033
266,14.73,1.37,3.32,39.74,0.64,1.89,16.7028,39.7215,2128.352601
267,17.24,1.89,1.94,60.78,0.52,1.18,20.9185,68.3879,2990.910033
268,11.41,0.77,3.68,46.48,1.12,2.17,44.77,36.5716,1665.094059
269,16.25,1.49,2.84,35.52,0.96,1.76,41.2098,40.8086,2137.623337
270,11.47,1.23,3.74,67.19,1.04,2.3,46.9992,43.0651,885.3588434
271,12.68,1.02,3.52,37.33,0.64,2.03,38.3897,40.9996,1386.08845
272,15.07,0.99,3.27,47.99,1.15,2.47,89.7934,39.5228,2886.853973
273,15.22,1.4,3.24,55.21,0.96,1.94,36.0498,35.1561,2794.562575
274,10.92,1.05,3.48,59.51,0.52,1.84,41.0699,41.5716,1254.610117
275,17.49,1.2,2.2,22.34,1.06,1.37,44.4425,31.0204,717.0724475
276,9.93,0.88,3.39,45.77,0.0,1.87,37.5732,27.6492,1232.207107
277,12.53,1.3,2.78,55.54,1.08,2.26,7.3895,45.296,1896.812571
278,5.4,0.64,4.45,72.01,-0.26,2.08,34.6455,41.5037,216.6025466
279,17.27,1.5,2.59,46.97,1.51,2.12,20.2381,42.6236,4069.598107
280,21.57,2.52,3.21,30.83,1.4,2.08,77.4702,19.9612,3389.884727
281,10.63,1.46,3.14,20.64,-0.09,1.28,32.8887,28.4258,200.0112283
282,14.9,0.75,2.26,37.08,1.07,1.65,39.4562,39.3593,1917.240836
283,12.14,1.13,4.7,62.07,0.68,2.66,43.1206,23.8606,1334.19131
284,15.66,1.68,2.22,53.52,0.77,1.59,41.4654,47.0877,3060.43377
285,14.2,1.58,3.16,68.35,0.47,1.94,32.3294,43.5091,1155.445208
286,15.43,1.5,2.08,54.6,0.95,1.34,39.9049,25.4578,2922.31426
287,10.3,1.16,4.09,64.46,-0.13,1.95,39.0717,37.2328,838.5846772
288,9.74,1.0,4.09,71.35,-0.21,2.01,37.7674,33.2598,435.6692543
289,19.22,1.48,2.72,51.81,1.68,2.2,55.5452,37.7509,5514.4537
290,17.22,1.98,1.61,69.3,1.54,1.42,34.4683,55.3406,1790.510739
291,11.35,1.33,3.13,49.24,0.44,1.88,46.3605,19.0221,1641.150852
292,15.46,1.73,3.14,57.4,0.81,2.04,55.8195,35.6134,2708.867883
293,14.21,1.54,2.64,68.61,1.08,1.9,68.5939,28.3908,1180.067784
294,17.78,1.53,2.48,43.15,2.32,2.39,33.2531,49.0748,4255.810191
295,11.55,1.33,3.26,53.7,1.03,2.39,55.3944,36.7439,1710.903836
296,17.27,1.92,3.05,41.0,1.26,2.15,86.2992,16.2756,3435.245984
297,11.31,0.58,3.75,42.39,1.03,2.43,40.9843,36.465,1462.620038
298,16.36,1.68,3.47,36.42,1.33,2.63,77.7461,18.8286,2376.807968
299,18.51,1.65,2.06,52.81,1.48,1.64,39.8365,50.8173,4877.945092
300,12.91,1.21,2.75,66.05,1.29,2.01,43.8732,38.8575,1208.416645
301,17.29,1.96,2.85,45.41,1.39,1.96,41.4806,58.4937,3988.667404
302,15.88,1.35,2.87,64.63,1.47,2.31,44.5893,37.7871,2075.829714
303,16.57,1.77,3.08,36.59,1.53,2.31,30.0622,36.3942,2516.667008
304,14.08,1.24,3.44,49.67,0.4,1.6,55.1502,19.5603,2414.365099
305,16.25,1.77,3.73,56.55,0.94,2.23,18.7239,29.4152,3150.207691
306,14.5,1.25,2.74,47.95,0.94,1.67,-6.7698,40.5281,2643.836476
307,11.58,0.99,3.74,77.44,0.89,2.6,40.6015,42.4607,310.6441531
308,16.15,1.15,2.51,65.51,1.26,2.17,40.0256,45.0783,1986.970082
309,17.12,1.7,2.55,49.69,1.67,2.12,47.3895,21.6018,4138.096324
310,18.95,1.64,1.74,49.67,1.75,1.68,44.6564,47.3206,5395.870335
311,15.51,1.09,3.11,42.08,0.91,2.0,58.7886,28.5934,2651.050874
312,18.7,2.48,2.31,71.17,1.7,2.38,53.4006,36.7777,1907.525216
313,18.0,0.96,3.33,23.6,1.64,2.58,61.7401,48.5132,931.6569751
314,13.5,1.0,3.64,37.02,1.02,2.18,88.7722,31.8981,1571.388395
315,17.84,1.77,2.69,57.2,1.48,2.07,41.833,36.6731,4025.243033
316,14.5,1.52,2.48,62.6,0.67,1.49,49.294,27.8352,1833.785421
317,11.79,1.28,3.33,52.69,0.2,1.58,22.4206,24.6346,1692.087487
318,14.24,1.48,3.45,28.59,0.86,1.93,46.7694,30.4392,902.2542202
319,14.11,1.55,3.57,62.81,0.62,1.85,0.7444,51.6282,1707.514494
320,13.89,1.16,2.32,46.07,0.91,1.56,22.1789,36.3656,2347.515303
321,14.41,1.27,2.79,34.1,1.58,1.94,17.3109,46.6286,1545.288125
322,16.05,2.17,3.17,24.66,0.29,1.56,18.5979,48.2593,751.8381761
323,11.83,0.87,3.01,62.72,0.65,1.93,43.0708,36.6766,1219.730158
324,11.59,0.97,3.39,26.32,0.95,2.19,35.9585,34.9145,484.8913752
325,15.45,2.05,3.54,67.43,0.86,2.25,49.627,38.3171,1551.234102
326,10.78,1.42,4.09,72.67,0.25,2.09,4.7885,56.7434,463.4529962
327,11.9,1.14,2.95,51.46,1.14,2.0,36.9915,30.149,1851.625496
328,12.83,0.78,3.6,67.51,1.24,2.59,42.0647,53.3867,1049.501723
329,16.87,1.49,2.62,52.99,1.04,1.89,62.342,31.1944,3714.094273
330,16.49,1.47,2.39,53.66,1.8,2.16,32.6824,42.7496,3677.500662
331,17.4,2.08,2.69,42.81,1.38,2.32,37.1685,48.0732,3791.765964
332,11.36,1.15,3.89,57.7,0.06,1.95,37.7497,43.1198,1393.560622
